Feature,Importance
V14,0.1903344566455735
V10,0.11153349127537962
V4,0.11135805296775085
V12,0.09569810725545853
V17,0.08291640881358545
V3,0.06393795177776043
V11,0.049284347616707615
V16,0.04513375080762426
V2,0.038536119011663775
V9,0.027124132231944
V7,0.017359452870924535
V21,0.0153752668677306
V8,0.014956626527445123
V18,0.014671859019394946
V19,0.012108375227054945
V27,0.010913399606233104
V5,0.009709204852311927
V20,0.009140248877685145
V26,0.008780613961278395
V1,0.008680702376365547
V13,0.008331580599027538
Amount,0.008110451685257406
Time,0.006818837143603807
V15,0.0063273794084278585
V28,0.006022091738195432
V6,0.005756432532572316
V22,0.005579546304707667
V25,0.00545471512046674
V23,0.005140407900395567
V24,0.004905988977473414
